EpiYear,EpiWeek,YearWeek,WeekStart,WeekEnd,Kabupaten,Longitude,Latitude,NDVI_calendar,NDVI
2025,1,2025-W01,2024-12-29,2025-01-04,KAB BANTUL,110.2862991,-7.902328,,0.0213
2025,2,2025-W02,2025-01-05,2025-01-11,KAB BANTUL,110.2862991,-7.902328,,
2025,3,2025-W03,2025-01-12,2025-01-18,KAB BANTUL,110.2862991,-7.902328,,0.021
2025,4,2025-W04,2025-01-19,2025-01-25,KAB BANTUL,110.2862991,-7.902328,,
2025,5,2025-W05,2025-01-26,2025-02-01,KAB BANTUL,110.2862991,-7.902328,,
2025,6,2025-W06,2025-02-02,2025-02-08,KAB BANTUL,110.2862991,-7.902328,,0.02
2025,7,2025-W07,2025-02-09,2025-02-15,KAB BANTUL,110.2862991,-7.902328,,
2025,8,2025-W08,2025-02-16,2025-02-22,KAB BANTUL,110.2862991,-7.902328,,0.0213
2025,9,2025-W09,2025-02-23,2025-03-01,KAB BANTUL,110.2862991,-7.902328,,
2025,10,2025-W10,2025-03-02,2025-03-08,KAB BANTUL,110.2862991,-7.902328,,0.021
2025,11,2025-W11,2025-03-09,2025-03-15,KAB BANTUL,110.2862991,-7.902328,,
2025,12,2025-W12,2025-03-16,2025-03-22,KAB BANTUL,110.2862991,-7.902328,,0.0217
2025,13,2025-W13,2025-03-23,2025-03-29,KAB BANTUL,110.2862991,-7.902328,,
2025,14,2025-W14,2025-03-30,2025-04-05,KAB BANTUL,110.2862991,-7.902328,,
2025,15,2025-W15,2025-04-06,2025-04-12,KAB BANTUL,110.2862991,-7.902328,,0.0217
2025,16,2025-W16,2025-04-13,2025-04-19,KAB BANTUL,110.2862991,-7.902328,,
2025,17,2025-W17,2025-04-20,2025-04-26,KAB BANTUL,110.2862991,-7.902328,,
2025,18,2025-W18,2025-04-27,2025-05-03,KAB BANTUL,110.2862991,-7.902328,,
2025,19,2025-W19,2025-05-04,2025-05-10,KAB BANTUL,110.2862991,-7.902328,,0.0211
2025,20,2025-W20,2025-05-11,2025-05-17,KAB BANTUL,110.2862991,-7.902328,,
2025,21,2025-W21,2025-05-18,2025-05-24,KAB BANTUL,110.2862991,-7.902328,,
2025,22,2025-W22,2025-05-25,2025-05-31,KAB BANTUL,110.2862991,-7.902328,,0.0213
2025,23,2025-W23,2025-06-01,2025-06-07,KAB BANTUL,110.2862991,-7.902328,,
2025,24,2025-W24,2025-06-08,2025-06-14,KAB BANTUL,110.2862991,-7.902328,,0.021
2025,25,2025-W25,2025-06-15,2025-06-21,KAB BANTUL,110.2862991,-7.902328,,
2025,26,2025-W26,2025-06-22,2025-06-28,KAB BANTUL,110.2862991,-7.902328,,0.0216
2025,27,2025-W27,2025-06-29,2025-07-05,KAB BANTUL,110.2862991,-7.902328,,
2025,28,2025-W28,2025-07-06,2025-07-12,KAB BANTUL,110.2862991,-7.902328,,0.0207
