Date,Kabupaten,Longitude,Latitude,NDVI
2025-01-01,KAB BANTUL,110.2862991,-7.902328,0.0213
2025-01-01,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0213
2025-01-01,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-01-01,KAB SLEMAN,110.3812751,-7.689718,0.0207
2025-01-01,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0188
2025-01-17,KAB BANTUL,110.2862991,-7.902328,0.021
2025-01-17,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.021
2025-01-17,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-01-17,KAB SLEMAN,110.3812751,-7.689718,0.0223
2025-01-17,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.020900000000000002
2025-02-02,KAB BANTUL,110.2862991,-7.902328,0.02
2025-02-02,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.02
2025-02-02,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-02-02,KAB SLEMAN,110.3812751,-7.689718,0.0219
2025-02-02,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.021
2025-02-18,KAB BANTUL,110.2862991,-7.902328,0.0213
2025-02-18,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0213
2025-02-18,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-02-18,KAB SLEMAN,110.3812751,-7.689718,0.022000000000000002
2025-02-18,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.020200000000000003
2025-03-06,KAB BANTUL,110.2862991,-7.902328,0.021
2025-03-06,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.021
2025-03-06,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-03-06,KAB SLEMAN,110.3812751,-7.689718,0.0224
2025-03-06,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.019
2025-03-22,KAB BANTUL,110.2862991,-7.902328,0.0217
2025-03-22,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0217
2025-03-22,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-03-22,KAB SLEMAN,110.3812751,-7.689718,0.0211
2025-03-22,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.019100000000000002
2025-04-07,KAB BANTUL,110.2862991,-7.902328,0.0217
2025-04-07,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0217
2025-04-07,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-04-07,KAB SLEMAN,110.3812751,-7.689718,0.0212
2025-04-07,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0183
2025-05-09,KAB BANTUL,110.2862991,-7.902328,0.0211
2025-05-09,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0211
2025-05-09,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-05-09,KAB SLEMAN,110.3812751,-7.689718,0.0204
2025-05-09,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.019
2025-05-25,KAB BANTUL,110.2862991,-7.902328,0.0213
2025-05-25,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.0213
2025-05-25,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-05-25,KAB SLEMAN,110.3812751,-7.689718,0.021400000000000002
2025-05-25,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.018000000000000002
2025-06-10,KAB BANTUL,110.2862991,-7.902328,0.021
2025-06-10,KAB GUNUNG KIDUL,110.2704459,-7.9930685,0.021
2025-06-10,KAB KULON PROGO,109.9789867,-7.8124619,0.025500000000000002
2025-06-10,KAB SLEMAN,110.3812751,-7.689718,0.0206
2025-06-10,KOTA YOGYAKARTA,110.3479391,-7.8239138,0.0171
2025-06-26,KAB BANTUL,110.2862991,-7.902328,0.0216
