Year,Region,Week,Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2021,KAB BANTUL,1,25,-7.902328,110.2862991,0.642995912,99,62,9.82,24.6,30.34,30.34,1008,4.1,248
2021,KAB BANTUL,2,17,-7.902328,110.2862991,0.611755736,98,79,77.32,24.56,28.42,28.24,1007,4.44,272
2021,KAB BANTUL,3,9,-7.902328,110.2862991,0.632316756,96,58,19.04,24.19,30.86,30.86,1007,5.24,244
2021,KAB BANTUL,4,9,-7.902328,110.2862991,0.594489874,67,68,6.66,24.67,31.13,29.55,1009,2.85,178
2021,KAB BANTUL,5,6,-7.902328,110.2862991,0.657444545,100,62,94.21,23.85,31.09,30.74,1008,3.66,218
2021,KAB BANTUL,6,6,-7.902328,110.2862991,0.692693018,65,67,31.8,23.99,31.24,30.26,1007,5.66,251
2021,KAB BANTUL,7,11,-7.902328,110.2862991,0.65986872,85,68,5.68,24.11,30.01,29.68,1011,3.81,206
2021,KAB BANTUL,8,6,-7.902328,110.2862991,0.586866883,42,59,9.02,24.82,31.82,31.82,1010,4.08,179
2021,KAB BANTUL,9,10,-7.902328,110.2862991,0.621486047,79,55,28.25,25.16,32.79,32.79,1009,3.86,210
2021,KAB BANTUL,10,4,-7.902328,110.2862991,0.68585872,74,61,2.23,24.02,31.03,30.66,1010,4.71,237
2021,KAB BANTUL,11,8,-7.902328,110.2862991,0.723363026,75,78,20.99,24,30.39,27,1010,3.79,248
2021,KAB BANTUL,12,11,-7.902328,110.2862991,0.744564116,15,65,0.47,24.42,30.29,30.15,1007,5.13,233
2021,KAB BANTUL,13,18,-7.902328,110.2862991,0.579854926,80,63,0.55,24.46,30.7,30.63,1007,3.71,187
2021,KAB BANTUL,14,17,-7.902328,110.2862991,0.538252058,71,69,3.77,24.24,30.38,30.12,1007,3.54,186
2021,KAB BANTUL,15,17,-7.902328,110.2862991,0.686786073,42,64,5.09,25.22,31.09,31.06,1010,4.18,178
2021,KAB BANTUL,16,11,-7.902328,110.2862991,0.641296309,75,64,0.42,23.78,30.28,30.08,1011,4.13,171
2021,KAB BANTUL,17,7,-7.902328,110.2862991,0.633176356,43,60,0.15,23.52,30.49,30.49,1010,4.59,155
2021,KAB BANTUL,18,8,-7.902328,110.2862991,0.451042727,32,61,0.32,24.26,31.01,31.01,1010,4.61,153
2021,KAB BANTUL,19,11,-7.902328,110.2862991,0.490717237,8,54,0.15,22.66,29.98,29.97,1009,5.09,150
2021,KAB BANTUL,20,9,-7.902328,110.2862991,0.479850301,36,65,0.13,23.94,29.87,29.87,1008,6.93,146
2021,KAB BANTUL,21,12,-7.902328,110.2862991,0.439727062,100,63,0.42,24.08,30.59,30.59,1009,4.15,160
2021,KAB BANTUL,22,11,-7.902328,110.2862991,0.455337253,78,66,0.16,15.56,29.71,29.71,1009,4.92,156
2021,KAB BANTUL,23,7,-7.902328,110.2862991,0.44876843,27,66,0.15,13.89,30.22,30.22,1010,4.52,180
2021,KAB BANTUL,24,17,-7.902328,110.2862991,0.441449645,66,67,0,12.78,29.65,29.65,1011,4.83,147
2021,KAB BANTUL,25,10,-7.902328,110.2862991,0.463398749,99,66,25.89,12.78,29.24,29.24,1011,3.12,185
2021,KAB BANTUL,26,13,-7.902328,110.2862991,0.445756045,41,70,2.08,12.78,29.68,29.68,1010,4.32,150
2021,KAB BANTUL,27,10,-7.902328,110.2862991,0.416698481,87,64,0,12.56,21.45,20.89,1010,5.31,140
2021,KAB BANTUL,28,5,-7.902328,110.2862991,0.444784901,85,54,0,13.11,31.74,22,1008,5.02,96
2021,KAB BANTUL,29,7,-7.902328,110.2862991,0.437482072,34,65,0.24,22.71,29.06,28.65,1010,6.28,148
2021,KAB BANTUL,30,4,-7.902328,110.2862991,0.449509467,31,57,0.17,21.47,29.33,29.33,1012,6.97,143
2021,KAB BANTUL,31,7,-7.902328,110.2862991,0.45159643,79,68,0.21,24.33,27.99,27.93,1012,6.7,145
2021,KAB BANTUL,32,14,-7.902328,110.2862991,0.427696858,38,70,0.2,23.81,29.92,29.36,1011,5.57,150
2021,KAB BANTUL,33,6,-7.902328,110.2862991,0.409024668,6,55,0.24,23.01,31.56,31.47,1009,7.87,144
2021,KAB BANTUL,34,3,-7.902328,110.2862991,0.457490785,100,68,0.19,23.12,28.1,27.98,1011,5.67,156
2021,KAB BANTUL,35,4,-7.902328,110.2862991,0.459664783,81,66,0.2,23.25,28.92,28.92,1010,7.14,156
2021,KAB BANTUL,36,13,-7.902328,110.2862991,0.417001565,93,68,0.28,23.37,28,27.82,1011,6.12,151
2021,KAB BANTUL,37,12,-7.902328,110.2862991,0.448066832,99,77,7.69,23.42,27.87,26.4,1009,6.28,154
2021,KAB BANTUL,38,14,-7.902328,110.2862991,0.472102653,59,63,0.15,23.77,29.48,29.15,1011,7.49,153
2021,KAB BANTUL,39,21,-7.902328,110.2862991,0.401626538,80,69,2.65,24.55,29.62,29.23,1008,6.3,149
2021,KAB BANTUL,40,16,-7.902328,110.2862991,0.49376086,78,63,0.13,14.78,28.81,28.04,1010,6.16,164
2021,KAB BANTUL,41,2,-7.902328,110.2862991,0.531589936,82,59,0.1,13.11,29.56,22,1010,6.42,170
2021,KAB BANTUL,42,11,-7.902328,110.2862991,0.533697256,88,63,16.46,15.89,29.81,29.81,1009,5.28,163
2021,KAB BANTUL,43,20,-7.902328,110.2862991,0.427897886,28,61,0.17,24.53,30.92,30.92,1010,5.19,181
2021,KAB BANTUL,44,23,-7.902328,110.2862991,0.722761341,100,73,12.17,24.8,29.23,29.13,1010,4.2,159
2021,KAB BANTUL,45,22,-7.902328,110.2862991,0.655241345,100,68,39.62,15.89,30.75,21.45,1006,3.95,285
2021,KAB BANTUL,46,21,-7.902328,110.2862991,0.624118981,100,83,18.08,17,24.89,20.89,1010,3.07,253
2021,KAB BANTUL,47,46,-7.902328,110.2862991,0.71431022,85,68,0.11,16.45,29.79,29.53,1008,3.03,210
2021,KAB BANTUL,48,39,-7.902328,110.2862991,0.704525796,100,82,0.63,24.29,26.19,26.19,1009,2.97,308
2021,KAB BANTUL,49,39,-7.902328,110.2862991,0.634649381,100,74,4.97,17,28.36,28.36,1009,4.72,259
2021,KAB BANTUL,50,33,-7.902328,110.2862991,0.659067257,88,63,0,17.56,30.27,25.89,1010,4.25,232
2021,KAB BANTUL,51,21,-7.902328,110.2862991,0.577046918,100,69,17.66,16.45,30.72,25.89,1009,2.91,173
2021,KAB BANTUL,52,0,-7.902328,110.2862991,0.609448914,58,64,3.23,25.08,30.4,30.4,1010,4.39,227
2021,KAB GUNUNG KIDUL,1,0,-7.9930685,110.2704459,0.621967192,98,64,12.85,24.68,29.94,29.94,1008,4.13,249
2021,KAB GUNUNG KIDUL,2,0,-7.9930685,110.2704459,0.645332334,98,79,95.67,24.73,28.23,28.08,1007,4.85,272
2021,KAB GUNUNG KIDUL,3,0,-7.9930685,110.2704459,0.658342528,96,60,17.39,24.35,30.43,30.43,1007,5.36,245
2021,KAB GUNUNG KIDUL,4,0,-7.9930685,110.2704459,0.63062263,66,69,5.81,24.78,30.88,29.32,1009,3.19,193
2021,KAB GUNUNG KIDUL,5,0,-7.9930685,110.2704459,0.667684586,100,65,94.86,23.92,30.65,30.21,1008,3.76,220
2021,KAB GUNUNG KIDUL,6,0,-7.9930685,110.2704459,0.681673038,63,68,47.05,24.14,31.03,30.06,1007,6.4,254
2021,KAB GUNUNG KIDUL,7,0,-7.9930685,110.2704459,0.632917522,87,68,5.42,24.22,29.59,29.28,1011,3.86,201
2021,KAB GUNUNG KIDUL,8,0,-7.9930685,110.2704459,0.612190579,39,61,8.24,24.94,31.17,31.17,1010,4.21,177
2021,KAB GUNUNG KIDUL,9,0,-7.9930685,110.2704459,0.552831123,78,58,33.31,25.35,32.16,32.16,1009,3.67,209
2021,KAB GUNUNG KIDUL,10,0,-7.9930685,110.2704459,0.628604248,72,62,1,24.12,30.63,30.38,1010,4.89,237
