Year,Region,Week,Cases,Latitude,Longitude
2025,KAB BANTUL,1,50,-7.902328,110.2862991
2025,KAB BANTUL,2,38,-7.902328,110.2862991
2025,KAB BANTUL,3,39,-7.902328,110.2862991
2025,KAB BANTUL,4,56,-7.902328,110.2862991
2025,KAB BANTUL,5,26,-7.902328,110.2862991
2025,KAB BANTUL,6,38,-7.902328,110.2862991
2025,KAB BANTUL,7,24,-7.902328,110.2862991
2025,KAB BANTUL,8,36,-7.902328,110.2862991
2025,KAB BANTUL,9,21,-7.902328,110.2862991
2025,KAB BANTUL,10,22,-7.902328,110.2862991
2025,KAB BANTUL,11,18,-7.902328,110.2862991
2025,KAB BANTUL,12,12,-7.902328,110.2862991
2025,KAB BANTUL,13,10,-7.902328,110.2862991
2025,KAB BANTUL,14,12,-7.902328,110.2862991
2025,KAB BANTUL,15,19,-7.902328,110.2862991
2025,KAB BANTUL,16,16,-7.902328,110.2862991
2025,KAB BANTUL,17,36,-7.902328,110.2862991
2025,KAB BANTUL,18,18,-7.902328,110.2862991
2025,KAB BANTUL,19,18,-7.902328,110.2862991
2025,KAB BANTUL,20,14,-7.902328,110.2862991
2025,KAB BANTUL,21,17,-7.902328,110.2862991
2025,KAB BANTUL,22,16,-7.902328,110.2862991
2025,KAB BANTUL,23,16,-7.902328,110.2862991
2025,KAB BANTUL,24,16,-7.902328,110.2862991
2025,KAB BANTUL,25,25,-7.902328,110.2862991
2025,KAB BANTUL,26,15,-7.902328,110.2862991
2025,KAB BANTUL,27,11,-7.902328,110.2862991
2025,KAB BANTUL,28,7,-7.902328,110.2862991
2025,KAB BANTUL,29,19,-7.902328,110.2862991
2025,KAB BANTUL,30,18,-7.902328,110.2862991
2025,KAB BANTUL,31,7,-7.902328,110.2862991
2025,KAB BANTUL,32,16,-7.902328,110.2862991
2025,KAB BANTUL,33,8,-7.902328,110.2862991
2025,KAB BANTUL,34,10,-7.902328,110.2862991
2025,KAB BANTUL,35,8,-7.902328,110.2862991
2025,KAB BANTUL,36,7,-7.902328,110.2862991
2025,KAB BANTUL,37,13,-7.902328,110.2862991
2025,KAB BANTUL,38,18,-7.902328,110.2862991
2025,KAB BANTUL,39,13,-7.902328,110.2862991
2025,KAB BANTUL,40,5,-7.902328,110.2862991
2025,KAB BANTUL,41,20,-7.902328,110.2862991
2025,KAB BANTUL,42,17,-7.902328,110.2862991
2025,KAB BANTUL,43,16,-7.902328,110.2862991
2025,KAB BANTUL,44,26,-7.902328,110.2862991
2025,KAB BANTUL,45,14,-7.902328,110.2862991
2025,KAB BANTUL,46,12,-7.902328,110.2862991
2025,KAB BANTUL,47,14,-7.902328,110.2862991
2025,KAB BANTUL,48,6,-7.902328,110.2862991
2025,KAB BANTUL,49,8,-7.902328,110.2862991
2025,KAB BANTUL,50,8,-7.902328,110.2862991
2025,KAB BANTUL,51,8,-7.902328,110.2862991
2025,KAB BANTUL,52,6,-7.902328,110.2862991
2025,KAB GUNUNG KIDUL,1,52,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,2,65,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,3,73,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,4,47,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,5,30,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,6,37,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,7,44,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,8,21,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,9,29,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,10,22,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,11,21,-7.9930685,110.2704459
2025,KAB GUNUNG KIDUL,12,19,-7.9930685,110.2704459
