Year,Region,Month,Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2021,KAB GUNUNG KIDUL,1,0,-7.9930685,110.2704459,0.0209,89.5,68,32.93,24.635,29.87,29.4425,1007.75,4.3825,239.75
2021,KAB GUNUNG KIDUL,2,0,-7.9930685,110.2704459,0.0213,72.25,65.5,38.8925,24.305,30.61,30.18,1009,4.5575,213
2021,KAB GUNUNG KIDUL,3,4,-7.9930685,110.2704459,0.0217,64.2,62,10.488,24.588,30.668,30.577999999999996,1008.4,4.3839999999999995,223
2021,KAB GUNUNG KIDUL,4,2,-7.9930685,110.2704459,0.021650000000000003,58,66.75,2.33,24.3025,30.1275,29.9025,1009.75,4.47,165
2021,KAB GUNUNG KIDUL,5,4,-7.9930685,110.2704459,0.020880000000000003,51.2,64.2,0.124,22.216,29.784000000000002,29.726,1009,5.606,150
2021,KAB GUNUNG KIDUL,6,2,-7.9930685,110.2704459,0.0207,57.25,69.25,7.525,13.0575,29.2925,29.2575,1010.5,4.532500000000001,162.5
2021,KAB GUNUNG KIDUL,7,1,-7.9930685,110.2704459,0.0208,60.25,62.25,0.0625,17.5375,27.545,24.98,1010.25,6.4675,133.75
2021,KAB GUNUNG KIDUL,8,1,-7.9930685,110.2704459,0.019219999999999998,59.6,67.8,0.12000000000000002,23.657999999999998,28.854000000000003,28.656,1010.6,7.3180000000000005,146.4
2021,KAB GUNUNG KIDUL,9,3,-7.9930685,110.2704459,0.01845,82.25,70.75,1.7325,23.9225,28.4075,27.725,1009.75,7.365,148
2021,KAB GUNUNG KIDUL,10,6,-7.9930685,110.2704459,0.01765,69,63.5,5.3025,17.1125,29.2725,27.325,1010,6.0375,164
2021,KAB GUNUNG KIDUL,11,33,-7.9930685,110.2704459,0.02166,97,75.6,15.156,19.738,28.004,25.316,1008.6,3.864,244.4
2021,KAB GUNUNG KIDUL,12,33,-7.9930685,110.2704459,0.0201,87.25,69.75,5.125,19.0625,29.5325,27.41,1009.75,4.36,242.25
