Year,Region,Month,Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2025,KAB GUNUNG KIDUL,1,237,-7.9930685,110.2704459,0.021150000000000002,95,79.25,23.052500000000002,24.127499999999998,27.46,27.115000000000002,1009,5.3775,264
2025,KAB GUNUNG KIDUL,2,132,-7.9930685,110.2704459,0.020575,92,67,10.5825,24.5775,30.33,30.197499999999998,1007.5,4.65,221.5
2025,KAB GUNUNG KIDUL,3,104,-7.9930685,110.2704459,0.02134,83.7,71.5,11.672,24.044,29.619999999999997,29.186,1009,4.242,169.8
2025,KAB GUNUNG KIDUL,4,54,-7.9930685,110.2704459,0.0217,75,74,1.015,26.465,32.275,29.6575,1009.5,4.5575,191.25
2025,KAB GUNUNG KIDUL,5,56,-7.9930685,110.2704459,0.02125,51.25,64.5,2.455,26.4725,32.697500000000005,31.822499999999998,1008.25,5.035,159.25
2025,KAB GUNUNG KIDUL,6,63,-7.9930685,110.2704459,0.021240000000000002,69.8,67.4,0.064,26.163999999999998,30.948,29.830000000000002,1009.8,5.49,132.4
2025,KAB GUNUNG KIDUL,7,37,-7.9930685,110.2704459,0.020925,39.25,73.75,0,24.285,30.365000000000002,29.1175,1010.25,6.445,142.25
2025,KAB GUNUNG KIDUL,8,23,-7.9930685,110.2704459,0.019799999999999998,61,67,0,25.88,31.3975,30.3675,1011,7.3,152
2025,KAB GUNUNG KIDUL,9,57,-7.9930685,110.2704459,0.01998,64.2,60.2,0.372,23.552,31.415999999999997,30.51,1011.2,7.122,151.4
2025,KAB GUNUNG KIDUL,10,44,-7.9930685,110.2704459,0.0194,70.75,61,0.13,24.245,32.8975,32.2875,1009.75,6.1425,163.5
2025,KAB GUNUNG KIDUL,11,74,-7.9930685,110.2704459,0.020975,93.25,93.75,2.9625,25.3225,30.825,29.8625,1009.75,4.59,210
2025,KAB GUNUNG KIDUL,12,53,-7.9930685,110.2704459,0.02086,99.8,94.6,1.6179999999999999,25.196,31.889999999999997,31.182,1008.4,4.4159999999999995,207.4
2025,KAB SLEMAN,1,235,-7.689718,110.3812751,0.0215,98.25,73.5,15.02,24.395,27.56,27.28,1009.25,4.165,249.5
2025,KAB SLEMAN,2,248,-7.689718,110.3812751,0.022025,93.5,59.75,9.587499999999999,23.545,30.965,30.89,1007.25,3.66,205.5
2025,KAB SLEMAN,3,194,-7.689718,110.3812751,0.0218,86.1,69.9,10.64,22.73,29.560000000000002,29.016,1009,3.164,156.6
2025,KAB SLEMAN,4,160,-7.689718,110.3812751,0.021175,78.75,67.25,0.77,25.2025,33.447500000000005,29.9775,1009.25,3.7725,201.5
2025,KAB SLEMAN,5,104,-7.689718,110.3812751,0.0206,50.25,58.75,2.3775,25.177500000000002,33.1075,31.5125,1008.5,3.7675,172.75
2025,KAB SLEMAN,6,169,-7.689718,110.3812751,0.021079999999999998,74.2,65,0.041999999999999996,24.978,30.24,28.834000000000003,1010.2,3.0780000000000003,153.4
2025,KAB SLEMAN,7,139,-7.689718,110.3812751,0.0211,42,59.75,0,23.1925,29.785,27.9725,1010,3.465,197.5
2025,KAB SLEMAN,8,108,-7.689718,110.3812751,0.02085,56.25,58.5,0.3175,24.7875,30.197499999999998,29.502499999999998,1010.75,4.38,183.25
2025,KAB SLEMAN,9,130,-7.689718,110.3812751,0.02052,61.6,54.6,1.318,22.554000000000002,29.996,29.083999999999996,1011,4.954,188.2
2025,KAB SLEMAN,10,89,-7.689718,110.3812751,0.021199999999999997,67,51,0.565,23.177500000000002,32.15,31.03,1009.25,3.655,183.5
2025,KAB SLEMAN,11,72,-7.689718,110.3812751,0.019950000000000002,96,76,2.6025,24.3825,28.997500000000002,28.505,1010,3.5275,207
2025,KAB SLEMAN,12,79,-7.689718,110.3812751,0.02164,98.2,75.6,3.4560000000000004,24.412,30.415999999999997,28.560000000000002,1008.6,3.9859999999999998,236.6
2025,KOTA YOGYAKARTA,1,57,-7.8239138,110.3479391,0.01985,97,75,18.04,23.51,28,27.615000000000002,1009,4.3675,253.5
2025,KOTA YOGYAKARTA,2,26,-7.8239138,110.3479391,0.020775000000000002,91.75,60.25,11.0125,23.745,31.39,31.33,1007.25,4.0725,211.5
2025,KOTA YOGYAKARTA,3,18,-7.8239138,110.3479391,0.01928,81.3,68.5,11.224,23.23,30.162,29.639999999999997,1009,3.1019999999999994,173.4
2025,KOTA YOGYAKARTA,4,19,-7.8239138,110.3479391,0.0185,77.5,69,0.6725,25.8575,33.24,30.2775,1009,3.98,196.5
2025,KOTA YOGYAKARTA,5,13,-7.8239138,110.3479391,0.018825,48.5,59.25,4.6525,25.872500000000002,33.3125,32.1425,1008,4.0525,165
2025,KOTA YOGYAKARTA,6,43,-7.8239138,110.3479391,0.017660000000000002,73.6,65,0.024,25.82,30.836000000000002,29.588,1009.6,3.758,157.4
2025,KOTA YOGYAKARTA,7,23,-7.8239138,110.3479391,0.017650000000000002,41.25,62,0,23.95,30.1075,28.785,1010,4.2325,163
2025,KOTA YOGYAKARTA,8,21,-7.8239138,110.3479391,0.017,58.75,57.25,0.055,25.5475,31.0925,30.035,1010.75,5.295,167.75
2025,KOTA YOGYAKARTA,9,19,-7.8239138,110.3479391,0.017320000000000002,63,54.6,0.828,23.236,30.727999999999998,29.844,1010.8,5.476000000000001,170
2025,KOTA YOGYAKARTA,10,6,-7.8239138,110.3479391,0.017050000000000003,67.5,51,0.47750000000000004,23.905,32.4875,31.79,1009,4.32,178.75
2025,KOTA YOGYAKARTA,11,14,-7.8239138,110.3479391,0.01695,95.5,82,2.76,24.927500000000002,30.2725,29.415,1009.75,3.8274999999999997,214.5
2025,KOTA YOGYAKARTA,12,10,-7.8239138,110.3479391,0.018520000000000002,99,85,2.012,24.8,31.426,30.372000000000003,1008.6,4.15,208
