Year,Region,Month,SKDR_Cases,Dinkes_Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2025,KAB GUNUNG KIDUL,1,237,385,-7.9930685,110.2704459,0.02115,95,79.25,23.0525,24.1275,27.46,27.115,1009,5.3775,264
2025,KAB GUNUNG KIDUL,2,132,175,-7.9930685,110.2704459,0.020575,92,67,10.5825,24.5775,30.33,30.1975,1007.5,4.65,221.5
2025,KAB GUNUNG KIDUL,3,104,93,-7.9930685,110.2704459,0.02134,83.7,71.5,11.672,24.044,29.62,29.186,1009,4.242,169.8
2025,KAB GUNUNG KIDUL,4,54,85,-7.9930685,110.2704459,0.0217,75,74,1.015,26.465,32.275,29.6575,1009.5,4.5575,191.25
2025,KAB GUNUNG KIDUL,5,56,61,-7.9930685,110.2704459,0.02125,51.25,64.5,2.455,26.4725,32.6975,31.8225,1008.25,5.035,159.25
2025,KAB GUNUNG KIDUL,6,63,67,-7.9930685,110.2704459,0.02124,69.8,67.4,0.064,26.164,30.948,29.83,1009.8,5.49,132.4
2025,KAB GUNUNG KIDUL,7,37,37,-7.9930685,110.2704459,0.020925,39.25,73.75,0,24.285,30.365,29.1175,1010.25,6.445,142.25
2025,KAB GUNUNG KIDUL,8,23,34,-7.9930685,110.2704459,0.0198,61,67,0,25.88,31.3975,30.3675,1011,7.3,152
2025,KAB GUNUNG KIDUL,9,57,38,-7.9930685,110.2704459,0.01998,64.2,60.2,0.372,23.552,31.416,30.51,1011.2,7.122,151.4
2025,KAB GUNUNG KIDUL,10,44,32,-7.9930685,110.2704459,0.0194,70.75,61,0.13,24.245,32.8975,32.2875,1009.75,6.1425,163.5
2025,KAB GUNUNG KIDUL,11,74,21,-7.9930685,110.2704459,0.020975,93.25,93.75,2.9625,25.3225,30.825,29.8625,1009.75,4.59,210
2025,KAB GUNUNG KIDUL,12,53,0,-7.9930685,110.2704459,0.02086,99.8,94.6,1.618,25.196,31.89,31.182,1008.4,4.416,207.4
2025,KAB SLEMAN,1,235,79,-7.689718,110.3812751,0.0215,98.25,73.5,15.02,24.395,27.56,27.28,1009.25,4.165,249.5
2025,KAB SLEMAN,2,248,69,-7.689718,110.3812751,0.022025,93.5,59.75,9.5875,23.545,30.965,30.89,1007.25,3.66,205.5
2025,KAB SLEMAN,3,194,32,-7.689718,110.3812751,0.0218,86.1,69.9,10.64,22.73,29.56,29.016,1009,3.164,156.6
2025,KAB SLEMAN,4,160,58,-7.689718,110.3812751,0.021175,78.75,67.25,0.77,25.2025,33.4475,29.9775,1009.25,3.7725,201.5
2025,KAB SLEMAN,5,104,32,-7.689718,110.3812751,0.0206,50.25,58.75,2.3775,25.1775,33.1075,31.5125,1008.5,3.7675,172.75
2025,KAB SLEMAN,6,169,41,-7.689718,110.3812751,0.02108,74.2,65,0.042,24.978,30.24,28.834,1010.2,3.078,153.4
2025,KAB SLEMAN,7,139,32,-7.689718,110.3812751,0.0211,42,59.75,0,23.1925,29.785,27.9725,1010,3.465,197.5
2025,KAB SLEMAN,8,108,22,-7.689718,110.3812751,0.02085,56.25,58.5,0.3175,24.7875,30.1975,29.5025,1010.75,4.38,183.25
2025,KAB SLEMAN,9,130,14,-7.689718,110.3812751,0.02052,61.6,54.6,1.318,22.554,29.996,29.084,1011,4.954,188.2
2025,KAB SLEMAN,10,89,5,-7.689718,110.3812751,0.0212,67,51,0.565,23.1775,32.15,31.03,1009.25,3.655,183.5
2025,KAB SLEMAN,11,72,0,-7.689718,110.3812751,0.01995,96,76,2.6025,24.3825,28.9975,28.505,1010,3.5275,207
2025,KAB SLEMAN,12,79,0,-7.689718,110.3812751,0.02164,98.2,75.6,3.456,24.412,30.416,28.56,1008.6,3.986,236.6
2025,KOTA YOGYAKARTA,1,57,57,-7.8239138,110.3479391,0.01985,97,75,18.04,23.51,28,27.615,1009,4.3675,253.5
2025,KOTA YOGYAKARTA,2,26,47,-7.8239138,110.3479391,0.020775,91.75,60.25,11.0125,23.745,31.39,31.33,1007.25,4.0725,211.5
2025,KOTA YOGYAKARTA,3,18,23,-7.8239138,110.3479391,0.01928,81.3,68.5,11.224,23.23,30.162,29.64,1009,3.102,173.4
2025,KOTA YOGYAKARTA,4,19,18,-7.8239138,110.3479391,0.0185,77.5,69,0.6725,25.8575,33.24,30.2775,1009,3.98,196.5
2025,KOTA YOGYAKARTA,5,13,21,-7.8239138,110.3479391,0.018825,48.5,59.25,4.6525,25.8725,33.3125,32.1425,1008,4.0525,165
2025,KOTA YOGYAKARTA,6,43,27,-7.8239138,110.3479391,0.01766,73.6,65,0.024,25.82,30.836,29.588,1009.6,3.758,157.4
2025,KOTA YOGYAKARTA,7,23,25,-7.8239138,110.3479391,0.01765,41.25,62,0,23.95,30.1075,28.785,1010,4.2325,163
2025,KOTA YOGYAKARTA,8,21,9,-7.8239138,110.3479391,0.017,58.75,57.25,0.055,25.5475,31.0925,30.035,1010.75,5.295,167.75
2025,KOTA YOGYAKARTA,9,19,9,-7.8239138,110.3479391,0.01732,63,54.6,0.828,23.236,30.728,29.844,1010.8,5.476,170
2025,KOTA YOGYAKARTA,10,6,15,-7.8239138,110.3479391,0.01705,67.5,51,0.4775,23.905,32.4875,31.79,1009,4.32,178.75
