Year,Region,Week,Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2021,KAB BANTUL,1,25,-7.902328,110.2862991,0.642995912,99.0,62.0,9.82,24.6,30.34,30.34,1008.0,4.1,248.0
2021,KAB BANTUL,2,17,-7.902328,110.2862991,0.611755736,98.0,79.0,77.32,24.56,28.42,28.24,1007.0,4.44,272.0
2021,KAB BANTUL,3,9,-7.902328,110.2862991,0.632316756,96.0,58.0,19.04,24.19,30.86,30.86,1007.0,5.24,244.0
2021,KAB BANTUL,4,9,-7.902328,110.2862991,0.594489874,67.0,68.0,6.66,24.67,31.13,29.55,1009.0,2.85,178.0
2021,KAB BANTUL,5,6,-7.902328,110.2862991,0.657444545,100.0,62.0,94.21,23.85,31.09,30.74,1008.0,3.66,218.0
2021,KAB BANTUL,6,6,-7.902328,110.2862991,0.692693018,65.0,67.0,31.8,23.99,31.24,30.26,1007.0,5.66,251.0
2021,KAB BANTUL,7,11,-7.902328,110.2862991,0.65986872,85.0,68.0,5.68,24.11,30.01,29.68,1011.0,3.81,206.0
2021,KAB BANTUL,8,6,-7.902328,110.2862991,0.586866883,42.0,59.0,9.02,24.82,31.82,31.82,1010.0,4.08,179.0
2021,KAB BANTUL,9,10,-7.902328,110.2862991,0.621486047,79.0,55.0,28.25,25.16,32.79,32.79,1009.0,3.86,210.0
2021,KAB BANTUL,10,4,-7.902328,110.2862991,0.68585872,74.0,61.0,2.23,24.02,31.03,30.66,1010.0,4.71,237.0
2021,KAB BANTUL,11,8,-7.902328,110.2862991,0.723363026,75.0,78.0,20.99,24.0,30.39,27.0,1010.0,3.79,248.0
2021,KAB BANTUL,12,11,-7.902328,110.2862991,0.744564116,15.0,65.0,0.47,24.42,30.29,30.15,1007.0,5.13,233.0
2021,KAB BANTUL,13,18,-7.902328,110.2862991,0.579854926,80.0,63.0,0.55,24.46,30.7,30.63,1007.0,3.71,187.0
2021,KAB BANTUL,14,17,-7.902328,110.2862991,0.538252058,71.0,69.0,3.77,24.24,30.38,30.12,1007.0,3.54,186.0
2021,KAB BANTUL,15,17,-7.902328,110.2862991,0.686786073,42.0,64.0,5.09,25.22,31.09,31.06,1010.0,4.18,178.0
2021,KAB BANTUL,16,11,-7.902328,110.2862991,0.641296309,75.0,64.0,0.42,23.78,30.28,30.08,1011.0,4.13,171.0
2021,KAB BANTUL,17,7,-7.902328,110.2862991,0.633176356,43.0,60.0,0.15,23.52,30.49,30.49,1010.0,4.59,155.0
2021,KAB BANTUL,18,8,-7.902328,110.2862991,0.451042727,32.0,61.0,0.32,24.26,31.01,31.01,1010.0,4.61,153.0
2021,KAB BANTUL,19,11,-7.902328,110.2862991,0.490717237,8.0,54.0,0.15,22.66,29.98,29.97,1009.0,5.09,150.0
2021,KAB BANTUL,20,9,-7.902328,110.2862991,0.479850301,36.0,65.0,0.13,23.94,29.87,29.87,1008.0,6.93,146.0
2021,KAB BANTUL,21,12,-7.902328,110.2862991,0.439727062,100.0,63.0,0.42,24.08,30.59,30.59,1009.0,4.15,160.0
2021,KAB BANTUL,22,11,-7.902328,110.2862991,0.455337253,78.0,66.0,0.16,15.56,29.71,29.71,1009.0,4.92,156.0
2021,KAB BANTUL,23,7,-7.902328,110.2862991,0.44876843,27.0,66.0,0.15,13.89,30.22,30.22,1010.0,4.52,180.0
2021,KAB BANTUL,24,17,-7.902328,110.2862991,0.441449645,66.0,67.0,0.0,12.78,29.65,29.65,1011.0,4.83,147.0
2021,KAB BANTUL,25,10,-7.902328,110.2862991,0.463398749,99.0,66.0,25.89,12.78,29.24,29.24,1011.0,3.12,185.0
2021,KAB BANTUL,26,13,-7.902328,110.2862991,0.445756045,41.0,70.0,2.08,12.78,29.68,29.68,1010.0,4.32,150.0
2021,KAB BANTUL,27,10,-7.902328,110.2862991,0.416698481,87.0,64.0,0.0,12.56,21.45,20.89,1010.0,5.31,140.0
2021,KAB BANTUL,28,5,-7.902328,110.2862991,0.444784901,85.0,54.0,0.0,13.11,31.74,22.0,1008.0,5.02,96.0
2021,KAB BANTUL,29,7,-7.902328,110.2862991,0.437482072,34.0,65.0,0.24,22.71,29.06,28.65,1010.0,6.28,148.0
