Region,Year ,Month,Cases
KAB SLEMAN,2013,1,133
KAB SLEMAN,2013,2,110
KAB SLEMAN,2013,3,77
KAB SLEMAN,2013,4,81
KAB SLEMAN,2013,5,77
KAB SLEMAN,2013,6,32
KAB SLEMAN,2013,7,36
KAB SLEMAN,2013,8,67
KAB SLEMAN,2013,9,33
KAB SLEMAN,2013,10,12
KAB SLEMAN,2013,11,30
KAB SLEMAN,2013,12,48
KAB SLEMAN,2014,1,74
KAB SLEMAN,2014,2,62
KAB SLEMAN,2014,3,60
KAB SLEMAN,2014,4,46
KAB SLEMAN,2014,5,43
KAB SLEMAN,2014,6,39
KAB SLEMAN,2014,7,23
KAB SLEMAN,2014,8,43
KAB SLEMAN,2014,9,35
KAB SLEMAN,2014,10,22
KAB SLEMAN,2014,11,44
KAB SLEMAN,2014,12,47
KAB SLEMAN,2015,1,99
KAB SLEMAN,2015,2,106
KAB SLEMAN,2015,3,84
KAB SLEMAN,2015,4,64
KAB SLEMAN,2015,5,44
KAB SLEMAN,2015,6,34
KAB SLEMAN,2015,7,20
KAB SLEMAN,2015,8,20
KAB SLEMAN,2015,9,10
KAB SLEMAN,2015,10,11
KAB SLEMAN,2015,11,10
KAB SLEMAN,2015,12,12
KAB SLEMAN,2016,1,110
KAB SLEMAN,2016,2,131
KAB SLEMAN,2016,3,117
KAB SLEMAN,2016,4,60
KAB SLEMAN,2016,5,58
KAB SLEMAN,2016,6,46
KAB SLEMAN,2016,7,70
KAB SLEMAN,2016,8,55
KAB SLEMAN,2016,9,65
KAB SLEMAN,2016,10,40
KAB SLEMAN,2016,11,66
KAB SLEMAN,2016,12,62
KAB SLEMAN,2017,1,125
KAB SLEMAN,2017,2,56
KAB SLEMAN,2017,3,70
KAB SLEMAN,2017,4,35
KAB SLEMAN,2017,5,34
KAB SLEMAN,2017,6,22
KAB SLEMAN,2017,7,15
KAB SLEMAN,2017,8,16
KAB SLEMAN,2017,9,7
KAB SLEMAN,2017,10,13
KAB SLEMAN,2017,11,23
KAB SLEMAN,2017,12,11
KAB SLEMAN,2018,1,30
KAB SLEMAN,2018,2,19
KAB SLEMAN,2018,3,15
KAB SLEMAN,2018,4,13
KAB SLEMAN,2018,5,4
KAB SLEMAN,2018,6,4
KAB SLEMAN,2018,7,6
KAB SLEMAN,2018,8,8
KAB SLEMAN,2018,9,6
KAB SLEMAN,2018,10,9
KAB SLEMAN,2018,11,13
KAB SLEMAN,2018,12,16
KAB SLEMAN,2019,1,109
KAB SLEMAN,2019,2,104
KAB SLEMAN,2019,3,95
KAB SLEMAN,2019,4,97
KAB SLEMAN,2019,5,118
KAB SLEMAN,2019,6,64
KAB SLEMAN,2019,7,43
KAB SLEMAN,2019,8,20
KAB SLEMAN,2019,9,21
KAB SLEMAN,2019,10,23
KAB SLEMAN,2019,11,16
KAB SLEMAN,2019,12,18
KAB SLEMAN,2020,1,93
KAB SLEMAN,2020,2,109
KAB SLEMAN,2020,3,135
KAB SLEMAN,2020,4,116
KAB SLEMAN,2020,5,133
KAB SLEMAN,2020,6,82
KAB SLEMAN,2020,7,38
KAB SLEMAN,2020,8,18
KAB SLEMAN,2020,9,24
KAB SLEMAN,2020,10,16
KAB SLEMAN,2020,11,25
KAB SLEMAN,2020,12,21
KAB SLEMAN,2021,1,27
KAB SLEMAN,2021,2,25
KAB SLEMAN,2021,3,35
KAB SLEMAN,2021,4,25
KAB SLEMAN,2021,5,23
KAB SLEMAN,2021,6,19
KAB SLEMAN,2021,7,10
KAB SLEMAN,2021,8,9
KAB SLEMAN,2021,9,10
KAB SLEMAN,2021,10,21
KAB SLEMAN,2021,11,24
KAB SLEMAN,2021,12,54
KAB SLEMAN,2022,1,80
KAB SLEMAN,2022,2,11
KAB SLEMAN,2022,3,13
KAB SLEMAN,2022,4,19
KAB SLEMAN,2022,5,41
KAB SLEMAN,2022,6,27
KAB SLEMAN,2022,7,26
KAB SLEMAN,2022,8,17
KAB SLEMAN,2022,9,7
KAB SLEMAN,2022,10,27
KAB SLEMAN,2022,11,20
KAB SLEMAN,2022,12,42
KAB SLEMAN,2023,1,52
KAB SLEMAN,2023,2,28
KAB SLEMAN,2023,3,5
KAB SLEMAN,2023,4,8
KAB SLEMAN,2023,5,9
KAB SLEMAN,2023,6,4
KAB SLEMAN,2023,7,6
KAB SLEMAN,2023,8,7
KAB SLEMAN,2023,9,6
KAB SLEMAN,2023,10,5
KAB SLEMAN,2023,11,8
KAB SLEMAN,2023,12,8
KAB SLEMAN,2024,1,25
KAB SLEMAN,2024,2,30
KAB SLEMAN,2024,3,56
KAB SLEMAN,2024,4,81
KAB SLEMAN,2024,5,115
KAB SLEMAN,2024,6,86
KAB SLEMAN,2024,7,78
KAB SLEMAN,2024,8,52
KAB SLEMAN,2024,9,35
KAB SLEMAN,2024,10,30
KAB SLEMAN,2024,11,36
KAB SLEMAN,2024,12,51
KAB SLEMAN,2025,1,79
KAB SLEMAN,2025,2,69
KAB SLEMAN,2025,3,32
KAB SLEMAN,2025,4,58
KAB SLEMAN,2025,5,32
KAB SLEMAN,2025,6,41
KAB SLEMAN,2025,7,32
KAB SLEMAN,2025,8,22
KAB SLEMAN,2025,9,14
KAB SLEMAN,2025,10,5
KAB SLEMAN,2025,11,0
KAB SLEMAN,2025,12,0
KAB GUNUNG KIDUL,2013,1,71
KAB GUNUNG KIDUL,2013,2,52
KAB GUNUNG KIDUL,2013,3,42
KAB GUNUNG KIDUL,2013,4,26
KAB GUNUNG KIDUL,2013,5,24
KAB GUNUNG KIDUL,2013,6,24
KAB GUNUNG KIDUL,2013,7,39
KAB GUNUNG KIDUL,2013,8,10
KAB GUNUNG KIDUL,2013,9,16
KAB GUNUNG KIDUL,2013,10,17
KAB GUNUNG KIDUL,2013,11,8
KAB GUNUNG KIDUL,2013,12,24
KAB GUNUNG KIDUL,2014,1,37
KAB GUNUNG KIDUL,2014,2,24
KAB GUNUNG KIDUL,2014,3,24
KAB GUNUNG KIDUL,2014,4,21
KAB GUNUNG KIDUL,2014,5,31
KAB GUNUNG KIDUL,2014,6,33
KAB GUNUNG KIDUL,2014,7,23
KAB GUNUNG KIDUL,2014,8,35
KAB GUNUNG KIDUL,2014,9,28
KAB GUNUNG KIDUL,2014,10,32
KAB GUNUNG KIDUL,2014,11,37
KAB GUNUNG KIDUL,2014,12,53
KAB GUNUNG KIDUL,2015,1,130
KAB GUNUNG KIDUL,2015,2,81
KAB GUNUNG KIDUL,2015,3,44
KAB GUNUNG KIDUL,2015,4,44
