Year,Month,Region,Cases,Data_Source,Notes
2021,1,KAB BANTUL,60,historical_2021_2024,
2021,1,KAB GUNUNG KIDUL,0,historical_2021_2024,
2021,1,KAB KULON PROGO,5,historical_2021_2024,
2021,1,KAB SLEMAN,16,historical_2021_2024,
2021,1,KOTA YOGYAKARTA,0,historical_2021_2024,
2021,2,KAB BANTUL,29,historical_2021_2024,
2021,2,KAB GUNUNG KIDUL,0,historical_2021_2024,
2021,2,KAB KULON PROGO,9,historical_2021_2024,
2021,2,KAB SLEMAN,4,historical_2021_2024,
2021,2,KOTA YOGYAKARTA,0,historical_2021_2024,
2021,3,KAB BANTUL,51,historical_2021_2024,
2021,3,KAB GUNUNG KIDUL,4,historical_2021_2024,
2021,3,KAB KULON PROGO,14,historical_2021_2024,
2021,3,KAB SLEMAN,29,historical_2021_2024,
2021,3,KOTA YOGYAKARTA,3,historical_2021_2024,
2021,4,KAB BANTUL,52,historical_2021_2024,
2021,4,KAB GUNUNG KIDUL,2,historical_2021_2024,
2021,4,KAB KULON PROGO,12,historical_2021_2024,
2021,4,KAB SLEMAN,74,historical_2021_2024,
2021,4,KOTA YOGYAKARTA,11,historical_2021_2024,
2021,5,KAB BANTUL,51,historical_2021_2024,
2021,5,KAB GUNUNG KIDUL,4,historical_2021_2024,
2021,5,KAB KULON PROGO,13,historical_2021_2024,
2021,5,KAB SLEMAN,79,historical_2021_2024,
2021,5,KOTA YOGYAKARTA,2,historical_2021_2024,
2021,6,KAB BANTUL,47,historical_2021_2024,
2021,6,KAB GUNUNG KIDUL,2,historical_2021_2024,
2021,6,KAB KULON PROGO,15,historical_2021_2024,
2021,6,KAB SLEMAN,46,historical_2021_2024,
2021,6,KOTA YOGYAKARTA,9,historical_2021_2024,
2021,7,KAB BANTUL,26,historical_2021_2024,
2021,7,KAB GUNUNG KIDUL,1,historical_2021_2024,
2021,7,KAB KULON PROGO,2,historical_2021_2024,
2021,7,KAB SLEMAN,43,historical_2021_2024,
2021,7,KOTA YOGYAKARTA,0,historical_2021_2024,
2021,8,KAB BANTUL,34,historical_2021_2024,
2021,8,KAB GUNUNG KIDUL,1,historical_2021_2024,
2021,8,KAB KULON PROGO,0,historical_2021_2024,
2021,8,KAB SLEMAN,33,historical_2021_2024,
2021,8,KOTA YOGYAKARTA,6,historical_2021_2024,
2021,9,KAB BANTUL,60,historical_2021_2024,
2021,9,KAB GUNUNG KIDUL,3,historical_2021_2024,
2021,9,KAB KULON PROGO,3,historical_2021_2024,
2021,9,KAB SLEMAN,35,historical_2021_2024,
2021,9,KOTA YOGYAKARTA,4,historical_2021_2024,
2021,10,KAB BANTUL,49,historical_2021_2024,
2021,10,KAB GUNUNG KIDUL,6,historical_2021_2024,
2021,10,KAB KULON PROGO,4,historical_2021_2024,
2021,10,KAB SLEMAN,48,historical_2021_2024,
2021,10,KOTA YOGYAKARTA,6,historical_2021_2024,
2021,11,KAB BANTUL,151,historical_2021_2024,
2021,11,KAB GUNUNG KIDUL,33,historical_2021_2024,
2021,11,KAB KULON PROGO,9,historical_2021_2024,
2021,11,KAB SLEMAN,56,historical_2021_2024,
2021,11,KOTA YOGYAKARTA,22,historical_2021_2024,
2021,12,KAB BANTUL,93,historical_2021_2024,
2021,12,KAB GUNUNG KIDUL,33,historical_2021_2024,
2021,12,KAB KULON PROGO,20,historical_2021_2024,
2021,12,KAB SLEMAN,28,historical_2021_2024,
2021,12,KOTA YOGYAKARTA,13,historical_2021_2024,
2022,1,KAB BANTUL,150,historical_2021_2024,
2022,1,KAB GUNUNG KIDUL,50,historical_2021_2024,
2022,1,KAB KULON PROGO,83,historical_2021_2024,
2022,1,KAB SLEMAN,81,historical_2021_2024,
2022,1,KOTA YOGYAKARTA,28,historical_2021_2024,
2022,2,KAB BANTUL,66,historical_2021_2024,
2022,2,KAB GUNUNG KIDUL,15,historical_2021_2024,
2022,2,KAB KULON PROGO,9,historical_2021_2024,
2022,2,KAB SLEMAN,20,historical_2021_2024,
2022,2,KOTA YOGYAKARTA,4,historical_2021_2024,
2022,3,KAB BANTUL,69,historical_2021_2024,
2022,3,KAB GUNUNG KIDUL,13,historical_2021_2024,
2022,3,KAB KULON PROGO,16,historical_2021_2024,
2022,3,KAB SLEMAN,30,historical_2021_2024,
2022,3,KOTA YOGYAKARTA,7,historical_2021_2024,
2022,4,KAB BANTUL,56,historical_2021_2024,
2022,4,KAB GUNUNG KIDUL,12,historical_2021_2024,
2022,4,KAB KULON PROGO,8,historical_2021_2024,
2022,4,KAB SLEMAN,29,historical_2021_2024,
2022,4,KOTA YOGYAKARTA,8,historical_2021_2024,
2022,5,KAB BANTUL,112,historical_2021_2024,
2022,5,KAB GUNUNG KIDUL,31,historical_2021_2024,
2022,5,KAB KULON PROGO,30,historical_2021_2024,
2022,5,KAB SLEMAN,57,historical_2021_2024,
2022,5,KOTA YOGYAKARTA,13,historical_2021_2024,
2022,6,KAB BANTUL,85,historical_2021_2024,
2022,6,KAB GUNUNG KIDUL,24,historical_2021_2024,
2022,6,KAB KULON PROGO,24,historical_2021_2024,
2022,6,KAB SLEMAN,55,historical_2021_2024,
2022,6,KOTA YOGYAKARTA,16,historical_2021_2024,
2022,7,KAB BANTUL,127,historical_2021_2024,
2022,7,KAB GUNUNG KIDUL,9,historical_2021_2024,
2022,7,KAB KULON PROGO,20,historical_2021_2024,
2022,7,KAB SLEMAN,65,historical_2021_2024,
2022,7,KOTA YOGYAKARTA,19,historical_2021_2024,
2022,8,KAB BANTUL,138,historical_2021_2024,
2022,8,KAB GUNUNG KIDUL,13,historical_2021_2024,
2022,8,KAB KULON PROGO,20,historical_2021_2024,
2022,8,KAB SLEMAN,48,historical_2021_2024,
2022,8,KOTA YOGYAKARTA,27,historical_2021_2024,
2022,9,KAB BANTUL,82,historical_2021_2024,
2022,9,KAB GUNUNG KIDUL,9,historical_2021_2024,
2022,9,KAB KULON PROGO,23,historical_2021_2024,
2022,9,KAB SLEMAN,57,historical_2021_2024,
2022,9,KOTA YOGYAKARTA,19,historical_2021_2024,
2022,10,KAB BANTUL,98,historical_2021_2024,
2022,10,KAB GUNUNG KIDUL,12,historical_2021_2024,
2022,10,KAB KULON PROGO,26,historical_2021_2024,
2022,10,KAB SLEMAN,76,historical_2021_2024,
2022,10,KOTA YOGYAKARTA,17,historical_2021_2024,
2022,11,KAB BANTUL,81,historical_2021_2024,
2022,11,KAB GUNUNG KIDUL,9,historical_2021_2024,
2022,11,KAB KULON PROGO,25,historical_2021_2024,
2022,11,KAB SLEMAN,46,historical_2021_2024,
2022,11,KOTA YOGYAKARTA,12,historical_2021_2024,
2022,12,KAB BANTUL,63,historical_2021_2024,
2022,12,KAB GUNUNG KIDUL,3,historical_2021_2024,
2022,12,KAB KULON PROGO,20,historical_2021_2024,
2022,12,KAB SLEMAN,46,historical_2021_2024,
2022,12,KOTA YOGYAKARTA,9,historical_2021_2024,
2023,1,KAB BANTUL,94,historical_2021_2024,
2023,1,KAB GUNUNG KIDUL,11,historical_2021_2024,
2023,1,KAB KULON PROGO,31,historical_2021_2024,
2023,1,KAB SLEMAN,75,historical_2021_2024,
2023,1,KOTA YOGYAKARTA,13,historical_2021_2024,
2023,2,KAB BANTUL,58,historical_2021_2024,
2023,2,KAB GUNUNG KIDUL,8,historical_2021_2024,
2023,2,KAB KULON PROGO,14,historical_2021_2024,
2023,2,KAB SLEMAN,31,historical_2021_2024,
2023,2,KOTA YOGYAKARTA,11,historical_2021_2024,
2023,3,KAB BANTUL,37,historical_2021_2024,
