Year,Region,Month,Cases,Latitude,Longitude,NDVI,Cloud_Cover,Humidity,Precipitation_Total,Temperature_Min,Temperature_Max,Temperature_Avg,Pressure,Wind_Speed,Wind_Direction
2021,KAB BANTUL,1,60,-7.902328,110.2862991,0.0209,90.0,66.75,28.21,24.505000000000003,30.1875,29.7475,1007.75,4.1575,235.5
2021,KAB GUNUNG KIDUL,1,0,-7.9930685,110.2704459,0.0209,89.5,68.0,32.93,24.635,29.87,29.4425,1007.75,4.3825,239.75
2021,KAB KULON PROGO,1,5,-7.8186375,110.1613062,0.0255,89.25,69.5,43.875,11.525,29.8,20.7875,849.0,3.6475,228.5
2021,KAB SLEMAN,1,16,-7.7145614,110.3544861,0.0225,91.75,64.5,27.42,23.1,30.285,29.875,1007.75,3.41,208.25
2021,KOTA YOGYAKARTA,1,0,-7.7955798,110.3694896,0.0208,90.75,65.0,29.8125,23.925,30.5775,30.1,1007.75,3.7625,225.75
2021,KAB BANTUL,2,29,-7.902328,110.2862991,0.0213,73.0,64.0,35.177499999999995,24.1925,31.04,30.625,1009.0,4.3025,213.5
2021,KAB GUNUNG KIDUL,2,0,-7.9930685,110.2704459,0.0213,72.25,65.5,38.8925,24.305,30.61,30.18,1009.0,4.5575,213.0
2021,KAB KULON PROGO,2,9,-7.8186375,110.1613062,0.0255,69.0,62.0,18.6675,21.805,31.9925,31.44,1009.25,3.6325,225.75
2021,KAB SLEMAN,2,4,-7.7145614,110.3544861,0.0226999999999999,75.0,62.0,23.4625,22.705,31.255000000000003,30.8325,1009.25,3.1975,217.25
2021,KOTA YOGYAKARTA,2,0,-7.7955798,110.3694896,0.02,76.66666666666667,66.765,30.12,23.8325,30.7,30.045,1005.0175,3.3375,202.66666666666663
2021,KAB BANTUL,3,51,-7.902328,110.2862991,0.0217,64.6,64.4,10.498,24.412,31.04,30.246,1008.6,4.24,223.0
2021,KAB GUNUNG KIDUL,3,4,-7.9930685,110.2704459,0.0217,64.2,62.0,10.488,24.588,30.668,30.578,1008.4,4.384,223.0
2021,KAB KULON PROGO,3,14,-7.8186375,110.1613062,0.0255,63.8,56.6,11.234,24.262,31.954,31.828,1008.4,4.034000000000001,222.2
2021,KAB SLEMAN,3,29,-7.7145614,110.3544861,0.02186,68.8,60.8,14.114,22.974,31.596,30.610000000000003,1008.6,4.0920000000000005,222.2
2021,KOTA YOGYAKARTA,3,3,-7.7955798,110.3694896,0.01988,67.0,62.0,10.878,23.864,31.664,30.726,1008.6,4.304,223.4
2021,KAB BANTUL,4,52,-7.902328,110.2862991,0.02165,57.75,64.25,2.3575,24.19,30.56,30.4375,1009.5,4.109999999999999,172.5
2021,KAB GUNUNG KIDUL,4,2,-7.9930685,110.2704459,0.02165,58.0,66.75,2.33,24.3025,30.1275,29.9025,1009.75,4.47,165.0
2021,KAB KULON PROGO,4,12,-7.8186375,110.1613062,0.0255,72.25,58.5,8.9,23.9375,31.6475,31.6325,1009.5,3.895,198.75
2021,KAB SLEMAN,4,74,-7.7145614,110.3544861,0.0207499999999999,55.5,56.75,5.98,22.6675,31.245,31.19,1009.75,2.885,191.25
2021,KOTA YOGYAKARTA,4,11,-7.7955798,110.3694896,0.0177,56.25,59.25,4.0175,23.615,31.2375,31.225,1009.5,3.4925,183.25
2021,KAB BANTUL,5,51,-7.902328,110.2862991,0.02088,50.8,61.8,0.236,22.1,30.232,30.23,1009.0,5.14,153.0
2021,KAB GUNUNG KIDUL,5,4,-7.9930685,110.2704459,0.02088,51.2,64.2,0.124,22.216,29.784,29.726,1009.0,5.606,150.0
2021,KAB KULON PROGO,5,13,-7.8186375,110.1613062,0.0255,46.4,83.6,0.186,12.538,23.822,20.066,888.0,4.356,173.8
2021,KAB SLEMAN,5,79,-7.7145614,110.3544861,0.02098,49.2,54.2,0.11,20.822,31.054,30.936,1009.2,3.164,175.0
2021,KOTA YOGYAKARTA,5,2,-7.7955798,110.3694896,0.01816,49.4,57.2,0.262,21.566,31.014,30.948,1009.0,4.322,160.6
2021,KAB BANTUL,6,47,-7.902328,110.2862991,0.0207,58.25,67.25,7.029999999999999,13.0575,29.6975,29.6975,1010.5,4.1975,165.5
2021,KAB GUNUNG KIDUL,6,2,-7.9930685,110.2704459,0.0207,57.25,69.25,7.525,13.0575,29.2925,29.2575,1010.5,4.532500000000001,162.5
2021,KAB KULON PROGO,6,15,-7.8186375,110.1613062,0.0255,62.25,73.5,2.13,12.7075,25.2025,21.195,873.25,3.345,186.25
2021,KAB SLEMAN,6,46,-7.7145614,110.3544861,0.0219,61.75,60.25,0.5700000000000001,13.0575,30.27,30.2325,1010.75,2.775,215.5
2021,KOTA YOGYAKARTA,6,9,-7.7955798,110.3694896,0.0185,59.75,63.0,4.1825,13.0575,30.3075,30.295,1010.5,3.4775,172.75
2021,KAB BANTUL,7,26,-7.902328,110.2862991,0.0208,59.25,60.0,0.1025,17.4625,27.895,25.2175,1010.0,5.895,131.75
2021,KAB GUNUNG KIDUL,7,1,-7.9930685,110.2704459,0.0208,60.25,62.25,0.0625,17.5375,27.545,24.98,1010.25,6.4675,133.75
2021,KAB KULON PROGO,7,2,-7.8186375,110.1613062,0.0255,70.0,58.5,0.0,17.3325,29.7825,26.7075,1010.0,4.78,166.0
2021,KAB SLEMAN,7,43,-7.7145614,110.3544861,0.0209,52.5,53.75,0.105,16.052500000000002,28.2875,25.13,1010.0,4.4625,144.25
2021,KOTA YOGYAKARTA,7,0,-7.7955798,110.3694896,0.017675,55.5,56.25,0.0675,16.94,28.36,25.41,1009.75,5.0475,137.0
2021,KAB BANTUL,8,34,-7.902328,110.2862991,0.0192199999999999,60.8,65.4,0.208,23.504,29.298,29.132,1010.6,6.590000000000001,150.2
2021,KAB GUNUNG KIDUL,8,1,-7.9930685,110.2704459,0.0192199999999999,59.6,67.8,0.12,23.658,28.854000000000003,28.656,1010.6,7.318,146.4
2021,KAB KULON PROGO,8,0,-7.8186375,110.1613062,0.0255,65.8,64.8,0.8200000000000001,22.716,30.676,29.892,1011.2,4.754,162.4
2021,KAB SLEMAN,8,33,-7.7145614,110.3544861,0.0201,62.6,55.6,0.55,21.906,30.35,30.134,1010.6,4.434,177.8
2021,KOTA YOGYAKARTA,8,6,-7.7955798,110.3694896,0.0172,62.4,59.6,0.222,22.838,30.072000000000003,29.918,1010.4,5.292,159.2
2021,KAB BANTUL,9,60,-7.902328,110.2862991,0.01845,82.75,69.25,2.6925,23.7775,28.7425,28.15,1009.75,6.5475,151.75
2021,KAB GUNUNG KIDUL,9,3,-7.9930685,110.2704459,0.01845,82.25,70.75,1.7325,23.9225,28.4075,27.725,1009.75,7.365,148.0
2021,KAB KULON PROGO,9,3,-7.8186375,110.1613062,0.0255,80.5,69.5,3.855,24.0075,29.9175,28.35,1010.0,4.7225,152.5
2021,KAB SLEMAN,9,35,-7.7145614,110.3544861,0.020075,83.75,62.5,5.03,22.18,29.5175,28.9475,1010.0,3.8075,178.0
2021,KOTA YOGYAKARTA,9,4,-7.7955798,110.3694896,0.017025,83.5,64.75,2.67,23.1225,29.4175,28.885,1009.75,4.9975000000000005,155.25
2021,KAB BANTUL,10,49,-7.902328,110.2862991,0.01765,69.0,61.5,4.215000000000001,17.0775,29.775,27.6925,1009.75,5.7625,169.5
2021,KAB GUNUNG KIDUL,10,6,-7.9930685,110.2704459,0.01765,69.0,63.5,5.3025,17.1125,29.2725,27.325,1010.0,6.0375,164.0
2021,KAB KULON PROGO,10,4,-7.8186375,110.1613062,0.0255,69.0,59.25,2.9075,17.4,32.1325,28.885,1009.75,4.8175,175.5
2021,KAB SLEMAN,10,48,-7.7145614,110.3544861,0.0196749999999999,67.0,52.25,3.52,15.87,31.355,28.3225,1009.25,5.105,190.75
2021,KOTA YOGYAKARTA,10,6,-7.7955798,110.3694896,0.0154,68.75,56.25,4.13,16.67,30.845,28.225,1009.25,5.4675,180.25
2021,KAB BANTUL,11,151,-7.902328,110.2862991,0.02166,97.0,74.8,14.122,19.686,28.17,25.438,1008.6,3.444,243.0
2021,KAB GUNUNG KIDUL,11,33,-7.9930685,110.2704459,0.02166,97.0,75.6,15.156,19.738,28.004,25.316,1008.6,3.864,244.4
2021,KAB KULON PROGO,11,9,-7.8186375,110.1613062,0.0255,98.0,76.4,16.934,19.224,29.246,25.994,1008.6,2.652,215.4
2021,KAB SLEMAN,11,56,-7.7145614,110.3544861,0.02144,96.8,73.2,18.076,18.434,27.774,24.842,1008.6,2.382,233.6
2021,KOTA YOGYAKARTA,11,22,-7.7955798,110.3694896,0.01804,96.8,73.4,14.7,19.248,28.224,25.368,1008.6,2.842,240.6
2021,KAB BANTUL,12,93,-7.902328,110.2862991,0.0201,86.5,67.5,6.465,19.0225,29.9375,27.635,1009.5,4.0675,222.75
2021,KAB GUNUNG KIDUL,12,33,-7.9930685,110.2704459,0.0201,87.25,69.75,5.125,19.0625,29.5325,27.41,1009.75,4.36,242.25
2021,KAB KULON PROGO,12,20,-7.8186375,110.1613062,0.0255,86.25,63.25,11.2275,18.81,32.9675,28.405,1009.75,3.8675,217.75
2021,KAB SLEMAN,12,28,-7.7145614,110.3544861,0.0214,84.5,59.5,8.705,17.75,30.6,27.47,1009.5,3.9425,216.25
2021,KOTA YOGYAKARTA,12,13,-7.7955798,110.3694896,0.0194,85.5,62.5,7.135000000000001,18.59,30.58,27.825,1009.5,4.1475,222.5
2022,KAB BANTUL,1,150,-7.902328,110.2862991,0.0213399999999999,80.4,67.4,5.586,19.242,29.354000000000003,28.528,1009.0,4.34,234.8
2022,KAB GUNUNG KIDUL,1,50,-7.9930685,110.2704459,0.0213399999999999,80.6,68.8,5.59,19.286,29.028,28.27,1008.8,4.48,238.4
