Epi_Year,Epi_Week,Region,Cases,Data_Source,Notes
2021,1,KAB BANTUL,25,ewars_backfill,
2021,1,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,1,KAB KULON PROGO,1,ewars_backfill,
2021,1,KAB SLEMAN,3,ewars_backfill,
2021,1,KOTA YOGYAKARTA,0,ewars_backfill,
2021,2,KAB BANTUL,17,ewars_backfill,
2021,2,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,2,KAB KULON PROGO,3,ewars_backfill,
2021,2,KAB SLEMAN,6,ewars_backfill,
2021,2,KOTA YOGYAKARTA,0,ewars_backfill,
2021,3,KAB BANTUL,9,ewars_backfill,
2021,3,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,3,KAB KULON PROGO,1,ewars_backfill,
2021,3,KAB SLEMAN,5,ewars_backfill,
2021,3,KOTA YOGYAKARTA,0,ewars_backfill,
2021,4,KAB BANTUL,9,ewars_backfill,
2021,4,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,4,KAB KULON PROGO,0,ewars_backfill,
2021,4,KAB SLEMAN,2,ewars_backfill,
2021,4,KOTA YOGYAKARTA,0,ewars_backfill,
2021,5,KAB BANTUL,6,ewars_backfill,
2021,5,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,5,KAB KULON PROGO,1,ewars_backfill,
2021,5,KAB SLEMAN,1,ewars_backfill,
2021,5,KOTA YOGYAKARTA,0,ewars_backfill,
2021,6,KAB BANTUL,6,ewars_backfill,
2021,6,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,6,KAB KULON PROGO,2,ewars_backfill,
2021,6,KAB SLEMAN,1,ewars_backfill,
2021,6,KOTA YOGYAKARTA,0,ewars_backfill,
2021,7,KAB BANTUL,11,ewars_backfill,
2021,7,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,7,KAB KULON PROGO,0,ewars_backfill,
2021,7,KAB SLEMAN,1,ewars_backfill,
2021,7,KOTA YOGYAKARTA,0,ewars_backfill,
2021,8,KAB BANTUL,6,ewars_backfill,
2021,8,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,8,KAB KULON PROGO,6,ewars_backfill,
2021,8,KAB SLEMAN,1,ewars_backfill,
2021,8,KOTA YOGYAKARTA,0,ewars_backfill,
2021,9,KAB BANTUL,10,ewars_backfill,
2021,9,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,9,KAB KULON PROGO,0,ewars_backfill,
2021,9,KAB SLEMAN,2,ewars_backfill,
2021,9,KOTA YOGYAKARTA,0,ewars_backfill,
2021,10,KAB BANTUL,4,ewars_backfill,
2021,10,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,10,KAB KULON PROGO,4,ewars_backfill,
2021,10,KAB SLEMAN,0,ewars_backfill,
2021,10,KOTA YOGYAKARTA,0,ewars_backfill,
2021,11,KAB BANTUL,8,ewars_backfill,
2021,11,KAB GUNUNG KIDUL,0,ewars_backfill,
2021,11,KAB KULON PROGO,4,ewars_backfill,
2021,11,KAB SLEMAN,0,ewars_backfill,
2021,11,KOTA YOGYAKARTA,0,ewars_backfill,
2021,12,KAB BANTUL,11,ewars_backfill,
2021,12,KAB GUNUNG KIDUL,2,ewars_backfill,
2021,12,KAB KULON PROGO,2,ewars_backfill,
2021,12,KAB SLEMAN,8,ewars_backfill,
2021,12,KOTA YOGYAKARTA,0,ewars_backfill,
2021,13,KAB BANTUL,18,ewars_backfill,
2021,13,KAB GUNUNG KIDUL,2,ewars_backfill,
2021,13,KAB KULON PROGO,4,ewars_backfill,
2021,13,KAB SLEMAN,19,ewars_backfill,
2021,13,KOTA YOGYAKARTA,3,ewars_backfill,
2021,14,KAB BANTUL,17,ewars_backfill,
2021,14,KAB GUNUNG KIDUL,1,ewars_backfill,
2021,14,KAB KULON PROGO,4,ewars_backfill,
2021,14,KAB SLEMAN,12,ewars_backfill,
