Epi_Year,Epi_Week,Region,NDVI,Data_Source,Is_Imputed
2021,1,KAB BANTUL,0.813,modis_neo_csv,No
2021,1,KAB GUNUNG KIDUL,0.825,modis_neo_csv,No
2021,1,KAB KULON PROGO,0.782,modis_neo_csv,No
2021,1,KAB SLEMAN,0.715,modis_neo_csv,No
2021,1,KOTA YOGYAKARTA,0.648,modis_neo_csv,No
2021,2,KAB BANTUL,0.813,modis_neo_csv,No
2021,2,KAB GUNUNG KIDUL,0.825,modis_neo_csv,No
2021,2,KAB KULON PROGO,0.782,modis_neo_csv,No
2021,2,KAB SLEMAN,0.715,modis_neo_csv,No
2021,2,KOTA YOGYAKARTA,0.648,modis_neo_csv,No
2021,3,KAB BANTUL,0.786,modis_neo_csv,No
2021,3,KAB GUNUNG KIDUL,0.743,modis_neo_csv,No
2021,3,KAB KULON PROGO,0.829,modis_neo_csv,No
2021,3,KAB SLEMAN,0.715,modis_neo_csv,No
2021,3,KOTA YOGYAKARTA,0.723,modis_neo_csv,No
2021,4,KAB BANTUL,0.786,modis_neo_csv,No
2021,4,KAB GUNUNG KIDUL,0.743,modis_neo_csv,No
2021,4,KAB KULON PROGO,0.829,modis_neo_csv,No
2021,4,KAB SLEMAN,0.715,modis_neo_csv,No
2021,4,KOTA YOGYAKARTA,0.723,modis_neo_csv,No
2021,5,KAB BANTUL,0.786,modis_neo_csv,No
2021,5,KAB GUNUNG KIDUL,0.743,modis_neo_csv,No
2021,5,KAB KULON PROGO,0.829,modis_neo_csv,No
2021,5,KAB SLEMAN,0.715,modis_neo_csv,No
2021,5,KOTA YOGYAKARTA,0.723,modis_neo_csv,No
2021,6,KAB BANTUL,0.743,modis_neo_csv,No
2021,6,KAB GUNUNG KIDUL,0.786,modis_neo_csv,No
2021,6,KAB KULON PROGO,0.79,modis_neo_csv,No
2021,6,KAB SLEMAN,0.723,modis_neo_csv,No
2021,6,KOTA YOGYAKARTA,0.687,modis_neo_csv,No
2021,7,KAB BANTUL,0.743,modis_neo_csv,No
2021,7,KAB GUNUNG KIDUL,0.786,modis_neo_csv,No
2021,7,KAB KULON PROGO,0.79,modis_neo_csv,No
2021,7,KAB SLEMAN,0.723,modis_neo_csv,No
2021,7,KOTA YOGYAKARTA,0.687,modis_neo_csv,No
2021,8,KAB BANTUL,0.735,modis_neo_csv,No
2021,8,KAB GUNUNG KIDUL,0.77,modis_neo_csv,No
2021,8,KAB KULON PROGO,0.853,modis_neo_csv,No
2021,8,KAB SLEMAN,0.613,modis_neo_csv,No
2021,8,KOTA YOGYAKARTA,0.699,modis_neo_csv,No
2021,9,KAB BANTUL,0.735,modis_neo_csv,No
2021,9,KAB GUNUNG KIDUL,0.77,modis_neo_csv,No
2021,9,KAB KULON PROGO,0.853,modis_neo_csv,No
2021,9,KAB SLEMAN,0.613,modis_neo_csv,No
2021,9,KOTA YOGYAKARTA,0.699,modis_neo_csv,No
2021,10,KAB BANTUL,0.691,modis_neo_csv,No
2021,10,KAB GUNUNG KIDUL,0.794,modis_neo_csv,No
2021,10,KAB KULON PROGO,0.837,modis_neo_csv,No
2021,10,KAB SLEMAN,0.711,modis_neo_csv,No
2021,10,KOTA YOGYAKARTA,0.707,modis_neo_csv,No
2021,11,KAB BANTUL,0.691,modis_neo_csv,No
2021,11,KAB GUNUNG KIDUL,0.794,modis_neo_csv,No
2021,11,KAB KULON PROGO,0.837,modis_neo_csv,No
2021,11,KAB SLEMAN,0.711,modis_neo_csv,No
2021,11,KOTA YOGYAKARTA,0.707,modis_neo_csv,No
2021,12,KAB BANTUL,0.652,modis_neo_csv,No
2021,12,KAB GUNUNG KIDUL,0.802,modis_neo_csv,No
2021,12,KAB KULON PROGO,0.802,modis_neo_csv,No
2021,12,KAB SLEMAN,0.628,modis_neo_csv,No
2021,12,KOTA YOGYAKARTA,0.66,modis_neo_csv,No
2021,13,KAB BANTUL,0.652,modis_neo_csv,No
2021,13,KAB GUNUNG KIDUL,0.802,modis_neo_csv,No
2021,13,KAB KULON PROGO,0.802,modis_neo_csv,No
2021,13,KAB SLEMAN,0.628,modis_neo_csv,No
2021,13,KOTA YOGYAKARTA,0.66,modis_neo_csv,No
2021,14,KAB BANTUL,0.652,modis_neo_csv,No
2021,14,KAB GUNUNG KIDUL,0.802,modis_neo_csv,No
2021,14,KAB KULON PROGO,0.802,modis_neo_csv,No
2021,14,KAB SLEMAN,0.628,modis_neo_csv,No
2021,14,KOTA YOGYAKARTA,0.66,modis_neo_csv,No
2021,15,KAB BANTUL,0.652,modis_neo_csv,No
2021,15,KAB GUNUNG KIDUL,0.782,modis_neo_csv,No
2021,15,KAB KULON PROGO,0.743,modis_neo_csv,No
2021,15,KAB SLEMAN,0.62,modis_neo_csv,No
2021,15,KOTA YOGYAKARTA,0.573,modis_neo_csv,No
2021,16,KAB BANTUL,0.652,modis_neo_csv,No
2021,16,KAB GUNUNG KIDUL,0.782,modis_neo_csv,No
2021,16,KAB KULON PROGO,0.743,modis_neo_csv,No
2021,16,KAB SLEMAN,0.62,modis_neo_csv,No
2021,16,KOTA YOGYAKARTA,0.573,modis_neo_csv,No
2021,17,KAB BANTUL,0.64,modis_neo_csv,No
2021,17,KAB GUNUNG KIDUL,0.758,modis_neo_csv,No
2021,17,KAB KULON PROGO,0.75,modis_neo_csv,No
2021,17,KAB SLEMAN,0.601,modis_neo_csv,No
2021,17,KOTA YOGYAKARTA,0.628,modis_neo_csv,No
2021,18,KAB BANTUL,0.64,modis_neo_csv,No
2021,18,KAB GUNUNG KIDUL,0.758,modis_neo_csv,No
2021,18,KAB KULON PROGO,0.75,modis_neo_csv,No
2021,18,KAB SLEMAN,0.601,modis_neo_csv,No
2021,18,KOTA YOGYAKARTA,0.628,modis_neo_csv,No
2021,19,KAB BANTUL,0.64,modis_neo_csv,No
2021,19,KAB GUNUNG KIDUL,0.664,modis_neo_csv,No
2021,19,KAB KULON PROGO,0.774,modis_neo_csv,No
2021,19,KAB SLEMAN,0.585,modis_neo_csv,No
2021,19,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,20,KAB BANTUL,0.64,modis_neo_csv,No
2021,20,KAB GUNUNG KIDUL,0.664,modis_neo_csv,No
2021,20,KAB KULON PROGO,0.774,modis_neo_csv,No
2021,20,KAB SLEMAN,0.585,modis_neo_csv,No
2021,20,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,21,KAB BANTUL,0.64,modis_neo_csv,No
2021,21,KAB GUNUNG KIDUL,0.664,modis_neo_csv,No
2021,21,KAB KULON PROGO,0.774,modis_neo_csv,No
2021,21,KAB SLEMAN,0.585,modis_neo_csv,No
2021,21,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,22,KAB BANTUL,0.699,modis_neo_csv,No
2021,22,KAB GUNUNG KIDUL,0.609,modis_neo_csv,No
2021,22,KAB KULON PROGO,0.766,modis_neo_csv,No
2021,22,KAB SLEMAN,0.652,modis_neo_csv,No
2021,22,KOTA YOGYAKARTA,0.644,modis_neo_csv,No
2021,23,KAB BANTUL,0.699,modis_neo_csv,No
2021,23,KAB GUNUNG KIDUL,0.609,modis_neo_csv,No
2021,23,KAB KULON PROGO,0.766,modis_neo_csv,No
2021,23,KAB SLEMAN,0.652,modis_neo_csv,No
2021,23,KOTA YOGYAKARTA,0.644,modis_neo_csv,No
2021,24,KAB BANTUL,0.66,modis_neo_csv,No
2021,24,KAB GUNUNG KIDUL,0.664,modis_neo_csv,No
2021,24,KAB KULON PROGO,0.746,modis_neo_csv,No
2021,24,KAB SLEMAN,0.719,modis_neo_csv,No
2021,24,KOTA YOGYAKARTA,0.66,modis_neo_csv,No
2021,25,KAB BANTUL,0.66,modis_neo_csv,No
2021,25,KAB GUNUNG KIDUL,0.664,modis_neo_csv,No
2021,25,KAB KULON PROGO,0.746,modis_neo_csv,No
2021,25,KAB SLEMAN,0.719,modis_neo_csv,No
2021,25,KOTA YOGYAKARTA,0.66,modis_neo_csv,No
2021,26,KAB BANTUL,0.687,modis_neo_csv,No
2021,26,KAB GUNUNG KIDUL,0.676,modis_neo_csv,No
2021,26,KAB KULON PROGO,0.739,modis_neo_csv,No
2021,26,KAB SLEMAN,0.648,modis_neo_csv,No
2021,26,KOTA YOGYAKARTA,0.605,modis_neo_csv,No
2021,27,KAB BANTUL,0.687,modis_neo_csv,No
2021,27,KAB GUNUNG KIDUL,0.676,modis_neo_csv,No
2021,27,KAB KULON PROGO,0.739,modis_neo_csv,No
2021,27,KAB SLEMAN,0.648,modis_neo_csv,No
2021,27,KOTA YOGYAKARTA,0.605,modis_neo_csv,No
2021,28,KAB BANTUL,0.636,modis_neo_csv,No
2021,28,KAB GUNUNG KIDUL,0.711,modis_neo_csv,No
2021,28,KAB KULON PROGO,0.699,modis_neo_csv,No
2021,28,KAB SLEMAN,0.624,modis_neo_csv,No
2021,28,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,29,KAB BANTUL,0.636,modis_neo_csv,No
2021,29,KAB GUNUNG KIDUL,0.711,modis_neo_csv,No
2021,29,KAB KULON PROGO,0.699,modis_neo_csv,No
2021,29,KAB SLEMAN,0.624,modis_neo_csv,No
2021,29,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,30,KAB BANTUL,0.636,modis_neo_csv,No
2021,30,KAB GUNUNG KIDUL,0.711,modis_neo_csv,No
2021,30,KAB KULON PROGO,0.699,modis_neo_csv,No
2021,30,KAB SLEMAN,0.624,modis_neo_csv,No
2021,30,KOTA YOGYAKARTA,0.589,modis_neo_csv,No
2021,31,KAB BANTUL,0.668,modis_neo_csv,No
2021,31,KAB GUNUNG KIDUL,0.715,modis_neo_csv,No
2021,31,KAB KULON PROGO,0.731,modis_neo_csv,No
2021,31,KAB SLEMAN,0.589,modis_neo_csv,No
2021,31,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,32,KAB BANTUL,0.668,modis_neo_csv,No
2021,32,KAB GUNUNG KIDUL,0.715,modis_neo_csv,No
2021,32,KAB KULON PROGO,0.731,modis_neo_csv,No
2021,32,KAB SLEMAN,0.589,modis_neo_csv,No
2021,32,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,33,KAB BANTUL,0.68,modis_neo_csv,No
2021,33,KAB GUNUNG KIDUL,0.68,modis_neo_csv,No
2021,33,KAB KULON PROGO,0.707,modis_neo_csv,No
2021,33,KAB SLEMAN,0.605,modis_neo_csv,No
2021,33,KOTA YOGYAKARTA,0.597,modis_neo_csv,No
2021,34,KAB BANTUL,0.68,modis_neo_csv,No
2021,34,KAB GUNUNG KIDUL,0.68,modis_neo_csv,No
2021,34,KAB KULON PROGO,0.707,modis_neo_csv,No
2021,34,KAB SLEMAN,0.605,modis_neo_csv,No
